City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,amga,60.8953,131.9608,-36.4,95,100,1.83,RU,1701900147
83,waingapu,-9.6567,120.2641,80.46,82,40,4.21,ID,1701900148
84,arkhangel'sk,64.5401,40.5433,-6.88,83,20,4.47,RU,1701900154
85,hadibu,12.65,54.0333,76.86,68,100,12.71,YE,1701900162
86,katsuura,35.1333,140.3,59.02,69,65,23.15,JP,1701900164
87,blackmans bay,-43.0167,147.3167,62.73,55,100,1.01,AU,1701900166
88,grand falls-windsor,48.9332,-55.6649,21.9,86,100,3.62,CA,1701900108
89,atafu village,-8.5421,-172.5159,84.43,75,99,7.83,TK,1701900167
90,hola,51.5377,23.1902,32.18,95,100,10.2,PL,1701900168
91,albany,42.6001,-73.9662,31.68,88,97,1.01,US,1701899908
92,thompson,55.7435,-97.8558,24.96,93,75,6.91,CA,1701900031
93,tulcingo de valle,18.05,-98.4333,76.77,43,100,14.56,MX,1701900171
94,anadyr,64.75,177.4833,-5.01,83,100,31.32,RU,1701900172
95,tete,-16.1564,33.5867,79.36,58,6,10.87,MZ,1701900173
96,kanniyakumari,8.0833,77.5667,79.77,82,94,7.16,IN,1701900175
97,tiksi,71.6872,128.8694,-14.13,97,100,7.9,RU,1701900176
98,ankang,32.68,109.0172,44.1,60,0,1.83,CN,1701900177
99,puerto deseado,-47.7503,-65.8938,52.18,58,0,10.22,AR,1701900178
100,archangelos,36.2149,28.1149,60.78,71,100,7.14,GR,1701900179
101,north bay,46.3168,-79.4663,19.11,76,75,3.44,CA,1701900180
102,whitehorse,60.7161,-135.0538,30.97,80,75,12.66,CA,1701900157
103,crane,31.3974,-102.3501,65.41,44,75,18.03,US,1701900183
104,metlili chaamba,32.2667,3.6333,54.54,38,0,3.44,DZ,1701900184
105,hermanus,-34.4187,19.2345,63.93,86,5,10.65,ZA,1701900189
106,puerto aysen,-45.4,-72.7,64.42,63,47,3.83,CL,1701900194
107,plouzane,48.3833,-4.6167,51.85,90,100,21.85,FR,1701900195
108,aykhal,66.0,111.5,-12.06,98,100,4.54,RU,1701900196
109,ulsteinvik,62.3432,5.8487,34.75,63,100,3.0,NO,1701900197
110,rajpipla,21.8667,73.5,72.84,69,76,7.29,IN,1701900198
111,portland,45.5234,-122.6762,51.46,96,100,7.0,US,1701899749
112,yeniseysk,58.4497,92.1703,-14.06,91,100,5.01,RU,1701900205
113,punta arenas,-53.15,-70.9167,51.91,66,0,27.63,CL,1701900123
114,posto fiscal rolim de moura,-13.0833,-62.2667,82.99,65,84,0.87,BR,1701900207
115,tikhvin,59.6451,33.5294,-3.78,99,64,2.91,RU,1701900208
116,iskateley,67.6803,53.1512,1.02,97,100,8.99,RU,1701900209
117,mil'kovo,55.6078,37.7956,14.4,100,99,2.1,RU,1701900210
118,haiku-pauwela,20.9219,-156.3051,82.42,64,40,20.71,US,1701900210
119,la foa,-21.7108,165.8276,79.43,56,64,4.9,NC,1701900213
120,papatowai,-46.5619,169.4708,51.33,75,97,10.8,NZ,1701900214
121,lesnoy,57.6198,63.0784,-24.2,96,13,5.35,RU,1701900215
122,rosa zarate,0.3333,-79.4667,78.42,87,100,4.61,EC,1701900216
123,okhotsk,59.3833,143.3,-4.32,73,100,13.76,RU,1701900217
124,yebaishou,41.3975,119.6408,24.53,45,14,4.25,CN,1701900218
125,walvis bay,-22.9575,14.5053,60.1,88,42,1.14,NA,1701900219
126,saipan,15.1355,145.701,83.1,78,20,12.66,MP,1701900220
127,verkhnevilyuysk,63.4453,120.3167,-52.85,100,77,2.17,RU,1701900221
128,labasa,-16.4167,179.3833,81.59,71,100,4.34,FJ,1701900222
129,billings,45.7833,-108.5007,60.3,31,75,19.57,US,1701900160
130,luau,-10.7073,22.2247,65.21,95,48,3.56,AO,1701900224
131,murzuq,25.9155,13.9184,63.7,28,100,9.22,LY,1701900224
132,kodiak,57.79,-152.4072,33.31,47,0,24.16,US,1701899957
133,fortaleza,-3.7227,-38.5247,84.07,78,20,9.22,BR,1701900000
134,torghay,49.6339,63.4981,15.85,70,6,7.7,KZ,1701900227
135,nogliki,51.8333,143.1667,25.34,87,100,4.0,RU,1701900229
136,ola,59.5833,151.2833,0.18,64,100,9.24,RU,1701900230
137,klyuchi,52.2667,79.1667,7.39,70,100,20.31,RU,1701900231
138,qaqortoq,60.7167,-46.0333,32.83,68,100,7.54,GL,1701900232
139,polygyros,40.3744,23.4383,47.93,83,100,1.9,GR,1701900233
140,ouro preto do oeste,-10.7481,-62.2158,82.18,67,62,3.62,BR,1701900233
141,vorgashor,67.5833,63.95,-23.58,100,12,3.15,RU,1701900235
142,buala,-8.145,159.5921,81.05,85,100,16.26,SB,1701900235
143,morehead city,34.7229,-76.726,46.4,73,40,19.57,US,1701900050
144,boguchany,58.3814,97.4531,-24.14,93,100,7.0,RU,1701900237
145,geraldton,-28.7667,114.6,66.61,82,40,10.36,AU,1701900238
146,isabela,6.7085,121.9711,75.25,81,51,8.08,PH,1701900239
147,isafjordur,66.0755,-23.124,35.69,67,11,16.89,IS,1701900240
148,ciudad bolivar,8.1222,-63.5497,84.38,57,100,16.15,VE,1701900241
149,male,4.1748,73.5089,82.35,89,75,6.91,MV,1701900005
150,kourou,5.1552,-52.6478,80.65,92,70,5.68,GF,1701900011
151,karratha,-20.7377,116.8463,85.91,26,6,9.57,AU,1701900245
152,roccella ionica,38.322,16.4009,57.31,66,100,11.45,IT,1701900246
153,mirpur sakro,24.5474,67.6277,68.23,26,0,8.72,PK,1701900247
154,udachny,66.4167,112.4,-13.09,98,99,3.06,RU,1701900249
155,hassi messaoud,31.6804,6.0729,57.06,38,0,4.61,DZ,1701900250
156,fiambala,-27.6871,-67.6149,75.0,42,0,10.98,AR,1701900251
157,tbeng meanchey,13.8167,104.9667,75.42,89,100,1.68,KH,1701900252
158,chandur,19.7333,79.1833,66.13,95,100,5.26,IN,1701900253
159,longyearbyen,78.2186,15.6401,24.64,68,40,21.85,SJ,1701900254
160,berehomet,48.1788,25.3486,30.97,97,100,6.71,UA,1701900255
161,bamboo flat,11.7,92.7167,77.09,100,75,1.14,IN,1701900256
162,at taraf,25.3628,49.725,57.74,32,4,2.35,SA,1701900257
163,chincha alta,-13.4099,-76.1323,70.39,72,100,5.44,PE,1701900258
164,armacao de buzios,-22.7469,-41.8817,86.05,90,16,21.65,BR,1701900164
165,lihue,21.9789,-159.3672,78.75,71,55,11.54,US,1701899985
166,sinop,41.7711,34.8709,48.49,76,94,7.36,TR,1701900261
167,teuva,62.4819,21.7416,22.57,94,100,5.44,FI,1701900262
168,diapaga,12.0708,1.7889,78.46,14,29,6.69,BF,1701900263
169,tamanrasset,22.785,5.5228,60.71,18,0,4.61,DZ,1701900264
170,calvinia,-31.4707,19.776,70.54,27,0,2.86,ZA,1701900265
171,francisco i. madero,29.7059,-107.8043,66.7,13,98,5.48,MX,1701900266
172,pacocha,-17.5833,-71.3333,73.54,64,0,10.36,PE,1701900267
173,wailua homesteads,22.0669,-159.378,81.03,75,40,10.36,US,1701900268
174,petropavlovsk-kamchatsky,53.0452,158.6483,15.46,69,0,15.01,RU,1701900269
175,kokopo,-4.352,152.2633,80.53,78,89,1.83,PG,1701900270
176,jinxiang,27.4327,120.6062,54.03,70,0,5.08,CN,1701900272
177,zimnicea,43.6667,25.3667,43.75,95,100,7.25,RO,1701900273
178,dzhalagash,45.0833,64.6667,26.01,54,99,9.48,KZ,1701900274
179,hastings,50.8552,0.5729,47.28,45,100,14.03,GB,1701900275
180,port saint john's,-31.6229,29.5448,67.51,89,100,16.46,ZA,1701900276
181,patong,7.8961,98.2966,77.14,84,37,5.44,TH,1701900085
182,bardai,11.65,7.2333,70.48,18,11,8.68,NG,1701900279
183,vilyuchinsk,52.9306,158.4028,16.93,84,63,6.69,RU,1701900280
184,kuanda,56.3161,116.0806,-23.06,97,97,0.89,RU,1701900281
185,chonchi,-42.6128,-73.8092,61.81,61,11,2.93,CL,1701900282
186,hamilton,39.1834,-84.5333,41.63,70,98,14.0,US,1701899668
187,sao tome,0.3365,6.7273,80.8,79,26,4.16,ST,1701900284
188,dudinka,69.4058,86.1778,-13.32,98,100,8.01,RU,1701900285
189,bilibino,68.0546,166.4372,-23.64,99,100,4.09,RU,1701900286
190,mata-utu,-13.2816,-176.1745,82.24,79,65,13.13,WF,1701900287
191,myeik,12.4333,98.6,76.41,89,98,3.91,MM,1701900288
192,brisas de zicatela,15.8369,-97.0419,85.19,62,76,3.33,MX,1701900289
193,puerto baquerizo moreno,-0.9,-89.6,81.59,69,40,11.5,EC,1701900290
194,zarichne,51.8126,26.129,27.03,89,100,9.98,UA,1701900291
195,saint croix,17.7397,-64.7388,81.05,83,40,5.75,VI,1701900292
196,kabansk,52.0486,106.6528,10.36,89,100,3.58,RU,1701900293
197,miracema do tocantins,-9.5618,-48.3967,88.03,46,76,2.68,BR,1701900294
198,richards bay,-28.783,32.0377,68.34,85,100,4.65,ZA,1701900295
199,santo augusto,-27.8508,-53.7772,72.99,92,99,6.78,BR,1701900296
200,isangel,-19.55,169.2667,80.71,74,75,2.3,VU,1701900297
201,howard springs,-12.497,131.047,78.71,88,98,2.84,AU,1701900298
202,vadso,70.0744,29.7487,15.96,92,75,4.61,NO,1701900299
203,kyshtovka,56.555,76.6271,-20.65,94,27,8.01,RU,1701900300
204,vel'sk,61.0701,42.0983,4.08,96,99,3.18,RU,1701900301
205,suwayr,30.1171,40.3893,63.54,56,29,8.43,SA,1701900302
206,kone,-21.0595,164.8658,81.82,52,100,5.21,NC,1701900304
207,thulamahashi,-24.7246,31.1994,68.5,88,100,5.91,ZA,1701900305
208,invercargill,-46.4,168.35,54.25,59,82,16.78,NZ,1701900306
209,jamestown,42.097,-79.2353,33.39,86,100,6.91,US,1701900243
210,tazovsky,67.4667,78.7,-18.94,99,100,10.04,RU,1701900308
211,upata,8.0086,-62.3989,77.2,95,94,4.03,VE,1701900309
212,kudahuvadhoo,2.6708,72.8944,82.04,78,100,7.4,MV,1701900310
213,ape,57.5393,26.6929,6.49,99,93,5.08,LV,1701900311
214,priob'ye,62.5206,65.5964,-34.98,96,6,4.76,RU,1701900313
215,suva,-18.1416,178.4415,85.48,66,40,8.05,FJ,1701900314
