City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,khorixas,-20.3667,14.9667,75.58,25,3,18.72,NA,1703958360
83,preobrazheniye,42.9019,133.9064,26.73,90,100,10.94,RU,1703958361
84,kayangel,8.0823,134.7173,82.15,83,77,15.03,PW,1703958361
85,howrah,22.5892,88.3103,66.2,77,20,5.75,IN,1703958362
86,uturoa,-16.7333,-151.4333,82.09,80,74,12.3,PF,1703958362
87,broome,42.2506,-75.833,39.61,93,100,11.5,US,1703958363
88,segou,13.4317,-6.2157,83.35,9,12,7.52,ML,1703958363
89,shihezi,44.3,86.0333,20.66,91,52,3.91,CN,1703958364
90,bereznik,62.8551,42.7072,-20.27,100,49,1.01,RU,1703958364
91,taoudenni,22.6783,-3.9836,71.35,18,9,9.1,ML,1703958365
92,ancud,-41.8697,-73.8203,63.57,62,67,6.62,CL,1703958366
93,huilong,31.8111,121.655,46.56,82,2,13.87,CN,1703958366
94,isla mujeres,21.2311,-86.731,69.85,60,88,13.35,MX,1703958367
95,dubovskoye,47.4092,42.7575,42.35,92,95,7.23,RU,1703958367
96,whitehorse,60.7161,-135.0538,14.77,85,75,3.44,CA,1703958368
97,badger,64.8,-147.5333,7.12,74,75,0.0,US,1703958369
98,malvan,16.0667,73.4667,76.06,68,9,7.63,IN,1703958369
99,kovdor,67.5662,30.4758,-9.76,100,100,2.17,RU,1703958370
100,vikhorevka,56.1201,101.1636,24.39,98,100,4.05,RU,1703958370
101,kyshtovka,56.555,76.6271,15.35,87,100,20.0,RU,1703958371
102,hermanus,-34.4187,19.2345,67.8,91,97,13.27,ZA,1703958371
103,olonkinbyen,70.9221,-8.7187,17.71,74,100,21.43,SJ,1703958372
104,hithadhoo,-0.6,73.0833,81.16,78,94,5.12,MV,1703958245
105,keflavik,64.0049,-22.5624,34.23,93,75,14.97,IS,1703958373
106,kupang,-10.1667,123.5833,81.18,100,88,4.61,ID,1703958373
107,ganshui,28.7422,106.7111,50.97,86,0,0.47,CN,1703958374
108,vilyuchinsk,52.9306,158.4028,10.67,77,100,9.98,RU,1703958374
109,ciudad acuna,29.3232,-100.9522,63.41,40,0,3.44,MX,1703958375
110,waingapu,-9.6567,120.2641,81.39,79,40,3.24,ID,1703958376
111,olinda,-8.0089,-34.8553,85.73,66,40,10.36,BR,1703958316
112,revda,56.801,59.9303,4.33,90,100,13.2,RU,1703958377
113,itamaraca,-7.7478,-34.8256,86.05,64,3,9.26,BR,1703958377
114,jackson,42.4165,-122.8345,49.86,92,40,3.0,US,1703958026
115,okha,53.5739,142.9478,-14.4,96,75,14.03,RU,1703958378
116,edinburgh of the seven seas,-37.0676,-12.3116,64.89,95,37,16.93,SH,1703958379
117,udachny,66.4167,112.4,-11.56,83,100,11.61,RU,1703958379
118,rio preto da eva,-2.6994,-59.6997,76.37,97,100,2.98,BR,1703958380
119,vorgashor,67.5833,63.95,-17.37,92,15,21.27,RU,1703958380
120,port alfred,-33.5906,26.891,71.85,89,100,18.25,ZA,1703958381
121,shimokizukuri,40.8061,140.3861,40.51,83,100,2.98,JP,1703958381
122,ushuaia,-54.8,-68.3,56.82,54,0,24.16,AR,1703958382
123,iskateley,67.6803,53.1512,-2.97,91,75,14.0,RU,1703958382
124,cambria,35.5641,-121.0808,56.75,100,65,1.01,US,1703958383
